variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
O3;TUNJELITO;2020;2021;25.31061783738394;18.15102588879452;17096;90%;25.082265893114997;25.538969781652884
O3;TUNJELITO;2020;2021;25.31061783738394;18.15102588879452;17096;99%;24.95299973505726;25.66823593971062
O3;TUNJELITO;2020;2022;25.46563749918087;18.78442512560902;25667;95%;25.235822206185407;25.69545279217633
O3;TUNJELITO;2020;2022;25.46563749918087;18.78442512560902;25667;90%;25.27277255952916;25.658502438832578
O3;TUNJELITO;2020;2022;25.46563749918087;18.78442512560902;25667;99%;25.163600788874053;25.767674209487684
O3;TUNJELITO;2020;2023;25.707482461572617;18.625840568321927;34039;95%;25.50960741994843;25.905357503196804
O3;TUNJELITO;2020;2023;25.707482461572617;18.625840568321927;34039;90%;25.541421877316743;25.87354304582849
O3;TUNJELITO;2020;2023;25.707482461572617;18.625840568321927;34039;99%;25.447425239825165;25.96753968332007
O3;TUNJELITO;2021;2021;25.643308221280883;18.634959589855686;8664;95%;25.250863938319608;26.035752504242158
O3;TUNJELITO;2021;2021;25.643308221280883;18.634959589855686;8664;90%;25.313969394170275;25.97264704839149
O3;TUNJELITO;2021;2021;25.643308221280883;18.634959589855686;8664;99%;25.12750742201666;26.159109020545106
O3;TUNJELITO;2021;2022;25.708721646227858;19.317928939711393;17235;95%;25.420296239713515;25.9971470527422
O3;TUNJELITO;2021;2022;25.708721646227858;19.317928939711393;17235;90%;25.466671403463128;25.950771888992588
O3;TUNJELITO;2021;2022;25.708721646227858;19.317928939711393;17235;99%;25.32965104694662;26.087792245509096
O3;TUNJELITO;2021;2023;25.95072813647566;18.93494166444437;25607;95%;25.718800105572914;26.182656167378408
O3;TUNJELITO;2021;2023;25.95072813647566;18.93494166444437;25607;90%;25.756090155944488;26.145366117006834
O3;TUNJELITO;2021;2023;25.95072813647566;18.93494166444437;25607;99%;25.645914722905797;26.255541550045525
O3;TUNJELITO;2022;2022;25.774844842324065;19.98547399304432;8571;95%;25.351681404150224;26.198008280497906
O3;TUNJELITO;2022;2022;25.774844842324065;19.98547399304432;8571;90%;25.419726659009818;26.12996302563831
O3;TUNJELITO;2022;2022;25.774844842324065;19.98547399304432;8571;99%;25.21866848785565;26.33102119679248
O3;TUNJELITO;2022;2023;26.10793088364248;19.085151457832183;16943;95%;25.820535641407826;26.395326125877137
O3;TUNJELITO;2022;2023;26.10793088364248;19.085151457832183;16943;90%;25.866745236252378;26.349116531032585
O3;TUNJELITO;2022;2023;26.10793088364248;19.085151457832183;16943;99%;25.730213940743354;26.48564782654161
O3;TUNJELITO;2023;2023;26.448934283085883;18.11199140846744;8372;95%;26.060906802635685;26.83696176353608
O3;TUNJELITO;2023;2023;26.448934283085883;18.11199140846744;8372;90%;26.123302404403514;26.774566161768252
O3;TUNJELITO;2023;2023;26.448934283085883;18.11199140846744;8372;99%;25.93893717974596;26.958931386425807
O3;USAQUEN;2020;2020;34.528038147314746;22.176803573874846;7201;95%;34.015738981258046;35.040337313371445
O3;USAQUEN;2020;2020;34.528038147314746;22.176803573874846;7201;90%;34.09812009342898;34.95795620120051
O3;USAQUEN;2020;2020;34.528038147314746;22.176803573874846;7201;99%;33.8546975977118;35.20137869691769
O3;USAQUEN;2020;2021;33.416375773016725;20.458723090541195;17275;95%;33.11127169066936;33.72147985536409
O3;USAQUEN;2020;2021;33.416375773016725;20.458723090541195;17275;90%;33.16032856513943;33.67242298089402
O3;USAQUEN;2020;2021;33.416375773016725;20.458723090541195;17275;99%;33.01538482744711;33.81736671858634
O3;USAQUEN;2020;2022;33.39353917320845;20.859816678368265;25821;95%;33.13909505944538;33.647983286971524
O3;USAQUEN;2020;2022;33.39353917320845;20.859816678368265;25821;90%;33.1800052902161;33.607073056200804
O3;USAQUEN;2020;2022;33.39353917320845;20.859816678368265;25821;99%;33.05913387927459;33.727944467142315
O3;USAQUEN;2020;2023;34.08470947193877;21.117285816632023;34417;95%;33.861601567570254;34.30781737630729
O3;USAQUEN;2020;2023;34.08470947193877;21.117285816632023;34417;90%;33.89747296124705;34.2719459826305
O3;USAQUEN;2020;2023;34.08470947193877;21.117285816632023;34417;99%;33.79149003300352;34.377928910874026
O3;USAQUEN;2021;2021;32.62174794322518;19.097834123839903;10074;95%;32.24876976596971;32.99472612048065
O3;USAQUEN;2021;2021;32.62174794322518;19.097834123839903;10074;90%;32.30874361489284;32.93475227155752
O3;USAQUEN;2021;2021;32.62174794322518;19.097834123839903;10074;99%;32.131537539310095;33.111958347140266
O3;USAQUEN;2021;2022;32.95478905975307;20.311259995995375;18620;95%;32.663030671492685;33.24654744801345
O3;USAQUEN;2021;2022;32.95478905975307;20.311259995995375;18620;90%;32.70994143647719;33.19963668302895
O3;USAQUEN;2021;2022;32.95478905975307;20.311259995995375;18620;99%;32.57133915844337;33.338238961062764
O3;USAQUEN;2021;2023;33.96741046431891;20.826780583239184;27216;95%;33.719966195236346;34.214854733401474
O3;USAQUEN;2021;2023;33.96741046431891;20.826780583239184;27216;90%;33.759750854473616;34.1750700741642
O3;USAQUEN;2021;2023;33.96741046431891;20.826780583239184;27216;99%;33.64220522541622;34.2926157032216
O3;USAQUEN;2022;2022;33.34737696144999;21.64905887776726;8546;95%;32.88831935427101;33.806434568628966
O3;USAQUEN;2022;2022;33.34737696144999;21.64905887776726;8546;90%;32.96213647755158;33.732617445348396
O3;USAQUEN;2022;2022;33.34737696144999;21.64905887776726;8546;99%;32.74402368394963;33.95073023895035
O3;USAQUEN;2022;2023;34.7582285857457;21.7406260056344;17142;95%;34.432751770123964;35.08370540136743
O3;USAQUEN;2022;2023;34.7582285857457;21.7406260056344;17142;90%;34.485084357074605;35.03137281441679
O3;USAQUEN;2022;2023;34.7582285857457;21.7406260056344;17142;99%;34.330462113399754;35.18599505809164
O3;USAQUEN;2023;2023;36.160873767368685;21.74196334783676;8596;95%;35.70118932120913;36.62055821352824
O3;USAQUEN;2023;2023;36.160873767368685;21.74196334783676;8596;90%;35.77510716650227;36.546640368235096
O3;USAQUEN;2023;2023;36.160873767368685;21.74196334783676;8596;99%;35.55669690379776;36.76505063093961
O3;USME;2020;2020;20.26390074356373;21.247325500683615;20061;95%;19.9698635438126;20.55793794331486
