variable,localidad,year_start,year_end,mean,std,n
NO2,ENGATIVÁ,2020,2020,29.30734682421095,18.28264910873202,10461
NO2,ENGATIVÁ,2020,2021,31.75863873165816,17.127459596735335,32149
NO2,ENGATIVÁ,2020,2022,31.86386170954244,16.903131294536568,49350
NO2,ENGATIVÁ,2020,2023,31.173860151383156,17.30037154907291,65197
NO2,ENGATIVÁ,2021,2021,33.000911184450295,16.372139545544837,21688
NO2,ENGATIVÁ,2021,2022,32.6122558217596,16.40250995369048,38889
NO2,ENGATIVÁ,2021,2023,31.61531180572616,17.030121445208156,54736
NO2,ENGATIVÁ,2022,2022,32.08070335756317,16.42964282097638,17201
NO2,ENGATIVÁ,2022,2023,30.402789599574767,17.49628852421172,33048
NO2,ENGATIVÁ,2023,2023,27.421918337227893,18.882786587360073,15847
NO2,FONTIBÓN,2020,2020,,,0
NO2,FONTIBÓN,2020,2021,39.319517885991225,13.258462489695722,5807
NO2,FONTIBÓN,2020,2022,40.77339802947773,13.977351805693683,31954
NO2,FONTIBÓN,2020,2023,36.17674802350456,16.81713399303061,58479
NO2,FONTIBÓN,2021,2021,39.319517885991225,13.258462489695722,5807
NO2,FONTIBÓN,2021,2022,40.77339802947773,13.977351805693683,31954
NO2,FONTIBÓN,2021,2023,36.17674802350456,16.81713399303061,58479
NO2,FONTIBÓN,2022,2022,41.54626794258373,14.285528325588945,26147
NO2,FONTIBÓN,2022,2023,35.75897830285924,17.191908748050075,52672
NO2,FONTIBÓN,2023,2023,33.82925042994477,17.640410587618053,26525
NO2,KENNEDY,2020,2020,39.58313970466023,17.385641868248257,17525
NO2,KENNEDY,2020,2021,39.286779112077355,17.899686814834546,38344
NO2,KENNEDY,2020,2022,39.085803891085746,17.592875278405973,50135
NO2,KENNEDY,2020,2023,38.73529192525417,17.589993701472658,62316
NO2,KENNEDY,2021,2021,39.04676002070929,18.302360771114152,20819
NO2,KENNEDY,2021,2022,38.81389615545925,17.699544469331055,32610
NO2,KENNEDY,2021,2023,38.37853265009684,17.663346098476246,44791
NO2,KENNEDY,2022,2022,38.33010939012585,16.36673979938896,11791
NO2,KENNEDY,2022,2023,37.655907284026654,16.916042417742432,23972
NO2,KENNEDY,2023,2023,36.9239996496964,17.464362201076476,12181
