variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;PUENTE ARANDA;2021;2023;786,1276984956013;620,9999343097819;51150;781,6111793265551;790,6442176646475;780,7459040852928;791,5094929059098;779,0547251476115;793,2006718435911
CO;PUENTE ARANDA;2022;2022;774,1526994801762;556,7376519045788;17025;767,1339793825557;781,1714195777968;765,7892391267784;782,5161598335741;763,1607984839511;785,1446004764014
CO;PUENTE ARANDA;2022;2023;724,5888654303609;528,3775964591606;34169;719,8870314272633;729,2906994334585;718,9862380898177;730,1914927709041;717,2256144869186;731,9521163738032
CO;PUENTE ARANDA;2023;2023;675,3690640597293;493,73724530731516;17144;669,1662246600836;681,5719034593751;667,9778025949367;682,7603255245219;665,6549041681542;685,0832239513045
CO;SAN CRISTOBAL;2020;2021;567,8746181076738;341,5816717529463;4978;559,9098118767797;575,8394243385678;558,3834244724793;577,3658117428682;555,3993244545392;580,3499117608084
CO;SAN CRISTOBAL;2020;2022;604,3170446089182;367,76019640437596;13680;599,1448084796224;609,489280738214;598,1538171713721;610,4802720464643;596,216777178162;612,4173120396744
CO;SAN CRISTOBAL;2020;2023;574,8449120525821;353,86674248723085;22289;570,9460329883333;578,743791116831;570,199051903942;579,4907722012223;568,7390255167244;580,9507985884399
CO;SAN CRISTOBAL;2021;2021;567,8746181076738;341,5816717529463;4978;559,9098118767797;575,8394243385678;558,3834244724793;577,3658117428682;555,3993244545392;580,3499117608084
CO;SAN CRISTOBAL;2021;2022;604,3170446089182;367,76019640437596;13680;599,1448084796224;609,489280738214;598,1538171713721;610,4802720464643;596,216777178162;612,4173120396744
CO;SAN CRISTOBAL;2021;2023;574,8449120525821;353,86674248723085;22289;570,9460329883333;578,743791116831;570,199051903942;579,4907722012223;568,7390255167244;580,9507985884399
CO;SAN CRISTOBAL;2022;2022;625,1640222144335;380,38202511378205;8702;618,4561629087261;631,871881520141;617,1708539579811;633,157190470886;614,6583751649716;635,6696692638955
CO;SAN CRISTOBAL;2022;2023;576,8493094448617;357,30574467871406;17311;572,3821709175595;581,3164479721638;571,5262982478791;582,1723206418442;569,8534046466025;583,8452142431208
CO;SAN CRISTOBAL;2023;2023;528,0126698211174;325,16168900841853;8609;522,2477003125508;533,7776393296839;521,1430583061282;534,8822813361065;518,9837373342712;537,0416023079636
CO;SANTA FE;2020;2020;931,9389281942978;520,517868340223;1894;912,2561908404107;951,6216655481849;908,4819796357126;955,3958767528829;901,0998895138595;962,7779668747361
CO;SANTA FE;2020;2021;869,6778133787386;455,1339302451291;10131;862,239404787397;877,1162219700802;860,814154359475;878,5414723980023;858,0281876432751;881,3274391142021
CO;SANTA FE;2020;2022;883,8253742668371;483,77006783050695;18768;878,0166776843627;889,6340708493116;876,9037806395158;890,7469678941584;874,728519763505;892,9222287701692
CO;SANTA FE;2020;2023;856,2659562578873;488,96778150504457;26942;851,3658271971824;861,1660853185922;850,4270307998968;862,1048817158778;848,5921085217875;863,9398039939871
CO;SANTA FE;2021;2021;855,3616119145321;437,5081492234834;8237;847,4315290974696;863,2916947315946;845,9120095623961;864,8112142666681;842,9416760533127;867,7815477757515
CO;SANTA FE;2021;2022;878,4249315064596;479,1845980388691;16874;872,3569404804016;884,4929225325177;871,1943525344793;885,65551047844;868,9219466139634;887,9279163989559
CO;SANTA FE;2021;2023;850,5439581403704;486,0310364107906;25048;845,4924530450443;855,5954632356965;844,5246503122519;856,5632659684888;842,6330261319129;858,4548901488279
CO;SANTA FE;2022;2022;900,4201339469724;514,8672000883374;8637;891,306583285472;909,5336846084729;889,5603113970633;911,2799564968816;886,1467534786851;914,6935144152598
CO;SANTA FE;2022;2023;848,183419556243;508,1133164835921;16811;841,737053044512;854,6297860679741;840,5019703112421;855,864868801244;838,0878645895713;858,2789745229148
CO;SANTA FE;2023;2023;792,9878601981894;494,9542713259835;8174;783,9820198147423;801,9937005816365;782,2563665861398;803,719353810239;778,8830815488848;807,0926388474941
CO;SUBA;2020;2020;533,5556507042254;214,07299022867704;1775;525,193522862952;541,9177785454988;523,5899647818875;543,5213366265633;520,4533586813745;546,6579427270763
CO;SUBA;2020;2021;436,65012699343805;254,7228574906668;27583;434,127291038593;439,1729629482831;433,6439515862525;439,6563024006236;432,6992427750515;440,6010112118246
CO;SUBA;2020;2022;446,51172175798723;251,1132729402618;50956;444,6819068708782;448,34153664509626;444,33135068660954;448,6920928293649;443,6461891674555;449,377254348519
CO;SUBA;2020;2023;448,95402724715865;242,16538385665245;76372;447,5126505176334;450,3954039766839;447,23651455388756;450,67153994042974;446,6968123111305;451,2112421831868
CO;SUBA;2021;2021;429,985243833695;255,94120373262882;25808;427,3646127981812;432,6058748692088;426,8625349891704;433,1079526782196;425,8811976924486;434,0892899749414
CO;SUBA;2021;2022;443,3702042231756;251,78834182087328;49181;441,50265362232415;445,2377548240271;441,14486757726604;445,5955408690852;440,44557459387426;446,294833852477
CO;SUBA;2021;2023;446,9409720085258;242,43617592833294;74597;445,48091640923377;448,40102760781787;445,2012018324297;448,6807421846219;444,6545050166789;449,2274390003727
CO;SUBA;2022;2022;458,1496102785265;246,28358511921908;23373;455,49975162689503;460,79946893015796;454,99207057786;461,307149979193;453,9997756931871;462,2994448638659
CO;SUBA;2022;2023;455,91007227161856;234,48612934365127;48789;454,1638814437303;457,6562630995068;453,82934545298735;457,99079909024977;453,1754945573763;458,64464998586084
CO;SUBA;2023;2023;453,85055378580427;223,07202946856293;25416;451,5489285810974;456,1521789905111;451,10796755139256;456,59314002021597;450,2460854503878;457,45502212122074
CO;TUNJELITO;2020;2020;845,9723020767779;479,9139145018372;7945;837,1151460344075;854,8294581191482;835,4179723674572;856,5266317860985;832,1003419821106;859,844262171445
CO;TUNJELITO;2020;2021;906,1624448367431;520,9982598003365;16569;899,5045080966078;912,8203815768785;898,2288878983054;914,0960017751809;895,7355441037943;916,589345569692
CO;TUNJELITO;2020;2022;962,6134492208206;537,0812312286953;25129;957,0403645564119;968,1865338852293;955,972634198747;969,2542642428942;953,885696313292;971,3412021283492
CO;TUNJELITO;2020;2023;938,6122550876023;525,5403993555818;32990;933,85283102854;943,3716791466646;932,9410027077834;944,2835074674213;931,1588082663081;946,0657019088965
CO;TUNJELITO;2021;2021;961,6135909670687;550,4009898359164;8624;951,8637226797237;971,3634592544138;949,9955236880824;973,2316582460551;946,3436255472977;976,8835563868397
CO;TUNJELITO;2021;2022;1016,5423315566806;553,3104623603391;17184;1009,5991675860715;1023,4854955272896;1008,268904660693;1024,815758452668;1005,6687635630428;1027,4158995503183
CO;TUNJELITO;2021;2023;968,0003336130965;535,8816716190544;25045;962,4303783474513;973,5702888787416;961,363247290185;974,637419936008;959,2774803699167;976,7231868562762
CO;TUNJELITO;2022;2022;1071,8817543189252;550,7454747937621;8560;1062,0893729153502;1081,6741357225003;1060,213024994836;1083,5504836430146;1056,5451930019988;1087,2183156358517
CO;TUNJELITO;2022;2023;971,354530591316;528,0826021401483;16421;964,5757150138364;978,1333461687956;963,2769339171925;979,4321272654395;960,7383175434561;981,9707436391759
CO;TUNJELITO;2023;2023;861,8884276644193;478,84546948672835;7861;853,00388799597;870,7729673328686;851,3014631399038;872,4753921889347;847,9735613039469;875,8032940248917
