Contaminante;Sintoma;Correlacion;Localidad;Año
CO;Casos de sibilancia último año;-2.4206672239609e-16;CANDELARIA;2023
PM10;Casos de sibilancia último año;-1.9401952809866862e-16;CANDELARIA;2023
NO2;Casos de sibilancia último año;-1.0157244868247878e-16;CANDELARIA;2023
O3;Casos de sibilancia último año;-4.0765709457716773e-16;CANDELARIA;2023
CO;Casos de sibilancia último año;-1.1642239307852054e-15;CHAPINERO;2023
PM10;Casos de sibilancia último año;-8.502096735734552e-16;CHAPINERO;2023
NO2;Casos de sibilancia último año;-7.63159603393041e-16;CHAPINERO;2023
O3;Casos de sibilancia último año;7.194403520215116e-17;CHAPINERO;2023
CO;Casos de sibilancia último año;-2.2123679026510002e-16;CIUDAD BOLIVAR;2023
PM10;Casos de sibilancia último año;-3.817604221311271e-16;CIUDAD BOLIVAR;2023
NO2;Casos de sibilancia último año;-5.940525073868001e-16;CIUDAD BOLIVAR;2023
O3;Casos de sibilancia último año;-1.0618176575897768e-16;CIUDAD BOLIVAR;2023
CO;Casos de sibilancia último año;3.661295044951916e-16;ENGATIVA;2023
PM10;Casos de sibilancia último año;1.3302064656966474e-15;ENGATIVA;2023
NO2;Casos de sibilancia último año;1.2062491140617363e-15;ENGATIVA;2023
O3;Casos de sibilancia último año;-3.4688667898593386e-16;ENGATIVA;2023
CO;Casos de sibilancia último año;-1.6329395938782073e-16;FONTIBON;2023
PM10;Casos de sibilancia último año;-1.6145398903880375e-15;FONTIBON;2023
NO2;Casos de sibilancia último año;-8.93289782968485e-16;FONTIBON;2023
O3;Casos de sibilancia último año;-2.6447339805494684e-15;FONTIBON;2023
CO;Casos de sibilancia último año;2.643199303988946e-16;KENNEDY;2023
PM10;Casos de sibilancia último año;9.319618949799274e-16;KENNEDY;2023
NO2;Casos de sibilancia último año;2.698087742335738e-16;KENNEDY;2023
O3;Casos de sibilancia último año;1.3822019369701932e-15;KENNEDY;2023
CO;Casos de sibilancia último año;1.6141703840930757e-16;PUENTE ARANDA;2023
PM10;Casos de sibilancia último año;6.059901864275734e-16;PUENTE ARANDA;2023
NO2;Casos de sibilancia último año;6.162464954734181e-16;PUENTE ARANDA;2023
O3;Casos de sibilancia último año;2.591949563623994e-17;PUENTE ARANDA;2023
CO;Casos de sibilancia último año;1.9728511295997103e-16;SAN CRISTOBAL;2023
PM10;Casos de sibilancia último año;1.6170853475968406e-16;SAN CRISTOBAL;2023
NO2;Casos de sibilancia último año;1.0073259823190377e-16;SAN CRISTOBAL;2023
O3;Casos de sibilancia último año;-1.1531762879598773e-16;SAN CRISTOBAL;2023
CO;Casos de sibilancia último año;4.854831347499367e-16;SANTA FE;2023
PM10;Casos de sibilancia último año;-4.350132644277894e-16;SANTA FE;2023
NO2;Casos de sibilancia último año;2.346197425374979e-16;SANTA FE;2023
O3;Casos de sibilancia último año;-5.668224701083225e-17;SANTA FE;2023
CO;Casos de sibilancia último año;6.5057368184666645e-16;SUBA;2023
PM10;Casos de sibilancia último año;1.5619179437602411e-15;SUBA;2023
NO2;Casos de sibilancia último año;1.205904383178923e-15;SUBA;2023
O3;Casos de sibilancia último año;8.222381525166768e-16;SUBA;2023
CO;Casos de sibilancia último año;-3.8332247789469825e-16;TEUSAQUILLO;2023
PM10;Casos de sibilancia último año;-8.335948485202222e-16;TEUSAQUILLO;2023
NO2;Casos de sibilancia último año;-6.392267302131261e-16;TEUSAQUILLO;2023
O3;Casos de sibilancia último año;-1.6872026102255332e-16;TEUSAQUILLO;2023
CO;Casos de sibilancia último año;-4.870363486900879e-16;USAQUEN;2023
PM10;Casos de sibilancia último año;-1.2207485389123792e-15;USAQUEN;2023
NO2;Casos de sibilancia último año;-8.075289103630668e-16;USAQUEN;2023
O3;Casos de sibilancia último año;-4.610210243026915e-16;USAQUEN;2023
CO;Casos de sibilancia último año;-2.19585700455228e-16;USME;2023
PM10;Casos de sibilancia último año;3.2994945813587806e-16;USME;2023
NO2;Casos de sibilancia último año;8.07229225194259e-16;USME;2023
O3;Casos de sibilancia último año;2.030230300649507e-16;USME;2023
