;Estacion;Anio;Mes;Hora;Localidad;mean_CO_granular;mean_NO2_granular;mean_O3_granular;mean_PM10_granular;mean_PM25_granular;mean_SO2_granular;mean_CO_local;mean_NO2_local;mean_O3_local;mean_PM10_local;mean_PM25_local;mean_SO2_local
114;BOGOTA RURAL - MOCHUELO;2022;5;18;FONTIBÓN;;;;;15.0323;21.4845;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
115;BOGOTA RURAL - MOCHUELO;2022;5;19;FONTIBÓN;;;;;18.129;22.2345;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
116;BOGOTA RURAL - MOCHUELO;2022;5;20;FONTIBÓN;;;;;21.871;22.441;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
117;BOGOTA RURAL - MOCHUELO;2022;5;21;FONTIBÓN;;;;;25.5161;21.8929;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
118;BOGOTA RURAL - MOCHUELO;2022;5;22;FONTIBÓN;;;;;22.6452;20.4687;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
119;BOGOTA RURAL - MOCHUELO;2022;5;23;FONTIBÓN;;;;;22.2258;18.65;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
120;BOGOTA RURAL - MOCHUELO;2022;6;0;FONTIBÓN;;;;;19.6667;13.4203;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
121;BOGOTA RURAL - MOCHUELO;2022;6;1;FONTIBÓN;;;;;20.2667;12.9163;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
122;BOGOTA RURAL - MOCHUELO;2022;6;2;FONTIBÓN;;;;;20.5;12.9643;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
123;BOGOTA RURAL - MOCHUELO;2022;6;3;FONTIBÓN;;;;;22.9667;13.7933;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
124;BOGOTA RURAL - MOCHUELO;2022;6;4;FONTIBÓN;;;;;26.0333;12.782;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
125;BOGOTA RURAL - MOCHUELO;2022;6;5;FONTIBÓN;;;;;31.6;13.6623;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
126;BOGOTA RURAL - MOCHUELO;2022;6;6;FONTIBÓN;;;;;38.8;15.864;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
127;BOGOTA RURAL - MOCHUELO;2022;6;7;FONTIBÓN;;;;;41.1333;16.9857;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
128;BOGOTA RURAL - MOCHUELO;2022;6;8;FONTIBÓN;;;;;30.037;18.0431;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
129;BOGOTA RURAL - MOCHUELO;2022;6;9;FONTIBÓN;;;;;19.8333;17.5862;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
130;BOGOTA RURAL - MOCHUELO;2022;6;10;FONTIBÓN;;;;;16.7586;15.3362;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
131;BOGOTA RURAL - MOCHUELO;2022;6;11;FONTIBÓN;;;;;10.2;13.9693;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
132;BOGOTA RURAL - MOCHUELO;2022;6;12;FONTIBÓN;;;;;11.8667;13.829;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
133;BOGOTA RURAL - MOCHUELO;2022;6;13;FONTIBÓN;;;;;15.5;17.0617;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
134;BOGOTA RURAL - MOCHUELO;2022;6;14;FONTIBÓN;;;;;18.2667;17.8943;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
135;BOGOTA RURAL - MOCHUELO;2022;6;15;FONTIBÓN;;;;;19.6667;20.6087;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
136;BOGOTA RURAL - MOCHUELO;2022;6;16;FONTIBÓN;;;;;22.9655;20.2245;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
137;BOGOTA RURAL - MOCHUELO;2022;6;17;FONTIBÓN;;;;;15.0667;16.24;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
138;BOGOTA RURAL - MOCHUELO;2022;6;18;FONTIBÓN;;;;;17.5333;15.305;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
139;BOGOTA RURAL - MOCHUELO;2022;6;19;FONTIBÓN;;;;;21.7;14.818;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
140;BOGOTA RURAL - MOCHUELO;2022;6;20;FONTIBÓN;;;;;18.8;14.262;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
141;BOGOTA RURAL - MOCHUELO;2022;6;21;FONTIBÓN;;;;;19.2;14.1257;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
142;BOGOTA RURAL - MOCHUELO;2022;6;22;FONTIBÓN;;;;;18.6;14.479;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
143;BOGOTA RURAL - MOCHUELO;2022;6;23;FONTIBÓN;;;;;17.3;14.9257;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
144;BOGOTA RURAL - MOCHUELO;2022;7;0;FONTIBÓN;;;;;20.1613;20.8952;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
145;BOGOTA RURAL - MOCHUELO;2022;7;1;FONTIBÓN;;;;;19.3871;19.9994;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
146;BOGOTA RURAL - MOCHUELO;2022;7;2;FONTIBÓN;;;;;20.4194;18.7232;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
147;BOGOTA RURAL - MOCHUELO;2022;7;3;FONTIBÓN;;;;;21.6774;17.4542;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
148;BOGOTA RURAL - MOCHUELO;2022;7;4;FONTIBÓN;;;;;21.871;19.2416;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
149;BOGOTA RURAL - MOCHUELO;2022;7;5;FONTIBÓN;;;;;24.7742;18.8513;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
150;BOGOTA RURAL - MOCHUELO;2022;7;6;FONTIBÓN;;;;;27.2903;19.6458;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
151;BOGOTA RURAL - MOCHUELO;2022;7;7;FONTIBÓN;;;;;27.5484;20.4097;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
152;BOGOTA RURAL - MOCHUELO;2022;7;8;FONTIBÓN;;;;;17.2;16.5665;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
153;BOGOTA RURAL - MOCHUELO;2022;7;9;FONTIBÓN;;;;;14.129;17.7783;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
154;BOGOTA RURAL - MOCHUELO;2022;7;10;FONTIBÓN;;;;;10.7333;13.8693;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
155;BOGOTA RURAL - MOCHUELO;2022;7;11;FONTIBÓN;;;;;10.0968;11.3703;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
156;BOGOTA RURAL - MOCHUELO;2022;7;12;FONTIBÓN;;;;;9.9355;13.6342;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
157;BOGOTA RURAL - MOCHUELO;2022;7;13;FONTIBÓN;;;;;9.8333;14.8107;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
158;BOGOTA RURAL - MOCHUELO;2022;7;14;FONTIBÓN;;;;;9.3226;14.0587;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
159;BOGOTA RURAL - MOCHUELO;2022;7;15;FONTIBÓN;;;;;9.4194;15.7577;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
