;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
1937;PM25;SUBA;2021;2022;12.645691724661502;8.895092511886004;54271;99%;12.547336165532068;12.744047283790936
1938;PM25;SUBA;2021;2023;12.721949447878643;8.940354773608208;79788;95%;12.659913897058885;12.7839849986984
1939;PM25;SUBA;2021;2023;12.721949447878643;8.940354773608208;79788;90%;12.66988775777255;12.774011137984736
1940;PM25;SUBA;2021;2023;12.721949447878643;8.940354773608208;79788;99%;12.640420200612795;12.803478695144491
1941;PM25;SUBA;2022;2022;14.097110139228368;9.107245350577509;25089;95%;13.984412607360381;14.209807671096355
1942;PM25;SUBA;2022;2022;14.097110139228368;9.107245350577509;25089;90%;14.002532459656717;14.19168781880002
1943;PM25;SUBA;2022;2022;14.097110139228368;9.107245350577509;25089;99%;13.948996353231971;14.245223925224765
1944;PM25;SUBA;2022;2023;13.48549506464327;9.090500938989623;50606;95%;13.406291397679572;13.564698731606969
1945;PM25;SUBA;2022;2023;13.48549506464327;9.090500938989623;50606;90%;13.41902562499615;13.55196450429039
1946;PM25;SUBA;2022;2023;13.48549506464327;9.090500938989623;50606;99%;13.381402365254443;13.589587764032098
1947;PM25;SUBA;2023;2023;12.884138690215805;9.03390224992609;25517;95%;12.7732903300686;12.99498705036301
1948;PM25;SUBA;2023;2023;12.884138690215805;9.03390224992609;25517;90%;12.79111284924167;12.977164531189938
1949;PM25;SUBA;2023;2023;12.884138690215805;9.03390224992609;25517;99%;12.738455263489604;13.029822116942006
1950;PM25;TUNJELITO;2020;2020;14.671584784338448;12.733262631905733;8432;95%;14.399762635716266;14.94340693296063
1951;PM25;TUNJELITO;2020;2020;14.671584784338448;12.733262631905733;8432;90%;14.443472130577604;14.899697438099292
1952;PM25;TUNJELITO;2020;2020;14.671584784338448;12.733262631905733;8432;99%;14.314320329950245;15.02884923872665
1953;PM25;TUNJELITO;2020;2021;14.301193255975257;12.10901906966466;17096;95%;14.119666540493158;14.482719971457355
1954;PM25;TUNJELITO;2020;2021;14.301193255975257;12.10901906966466;17096;90%;14.148853764825354;14.45353274712516
1955;PM25;TUNJELITO;2020;2021;14.301193255975257;12.10901906966466;17096;99%;14.062616965727969;14.539769546222544
1956;PM25;TUNJELITO;2020;2022;16.140637566720507;12.177462206624547;25667;95%;15.991654192129966;16.28962094131105
1957;PM25;TUNJELITO;2020;2022;16.140637566720507;12.177462206624547;25667;90%;16.01560816082244;16.265666972618575
1958;PM25;TUNJELITO;2020;2022;16.140637566720507;12.177462206624547;25667;99%;15.944834895082709;16.336440238358307
1959;PM25;TUNJELITO;2020;2023;16.59328920676507;12.116221943187314;34039;95%;16.464570295393433;16.72200811813671
1960;PM25;TUNJELITO;2020;2023;16.59328920676507;12.116221943187314;34039;90%;16.485265792332893;16.70131262119725
1961;PM25;TUNJELITO;2020;2023;16.59328920676507;12.116221943187314;34039;99%;16.4241204111307;16.76245800239944
1962;PM25;TUNJELITO;2021;2021;13.94071987564765;11.458160830409952;8664;95%;13.699415906649882;14.182023844645418
1963;PM25;TUNJELITO;2021;2021;13.94071987564765;11.458160830409952;8664;90%;13.738217840130162;14.143221911165138
1964;PM25;TUNJELITO;2021;2021;13.94071987564765;11.458160830409952;8664;99%;13.62356713453622;14.25787261675908
1965;PM25;TUNJELITO;2021;2022;16.859352568811925;11.83019230080898;17235;95%;16.682722453122377;17.035982684501473
1966;PM25;TUNJELITO;2021;2022;16.859352568811925;11.83019230080898;17235;90%;16.7111223456187;17.00758279200515
1967;PM25;TUNJELITO;2021;2022;16.859352568811925;11.83019230080898;17235;99%;16.627211840938074;17.091493296685776
1968;PM25;TUNJELITO;2021;2023;17.226077572833;11.838221111382875;25607;95%;17.081074997149862;17.371080148516135
1969;PM25;TUNJELITO;2021;2023;17.226077572833;11.838221111382875;25607;90%;17.104388924880745;17.347766220785253
1970;PM25;TUNJELITO;2021;2023;17.226077572833;11.838221111382875;25607;99%;17.0355066879841;17.416648457681898
1971;PM25;TUNJELITO;2022;2022;19.809654010134437;11.463448676516725;8571;95%;19.566932103364927;20.052375916903948
1972;PM25;TUNJELITO;2022;2022;19.809654010134437;11.463448676516725;8571;90%;19.60596211521428;20.013345905054596
1973;PM25;TUNJELITO;2022;2022;19.809654010134437;11.463448676516725;8571;99%;19.49063735349873;20.128670666770144
1974;PM25;TUNJELITO;2022;2023;18.906083421172358;11.676333944732542;16943;95%;18.7302544354882;19.081912406856517
1975;PM25;TUNJELITO;2022;2023;18.906083421172358;11.676333944732542;16943;90%;18.75852555830574;19.053641284038974
1976;PM25;TUNJELITO;2022;2023;18.906083421172358;11.676333944732542;16943;99%;18.67499543784573;19.137171404498986
1977;PM25;TUNJELITO;2023;2023;17.981035222654207;11.819666823689182;8372;95%;17.727813175783492;18.23425726952492
1978;PM25;TUNJELITO;2023;2023;17.981035222654207;11.819666823689182;8372;90%;17.768531791838853;18.19353865346956
1979;PM25;TUNJELITO;2023;2023;17.981035222654207;11.819666823689182;8372;99%;17.648217273121258;18.313853172187155
1980;PM25;USAQUEN;2020;2020;13.755302168321686;11.960257432468126;7201;95%;13.479012130036141;14.03159220660723
1981;PM25;USAQUEN;2020;2020;13.755302168321686;11.960257432468126;7201;90%;13.523441405240533;13.987162931402839
1982;PM25;USAQUEN;2020;2020;13.755302168321686;11.960257432468126;7201;99%;13.392160280621606;14.118444056021765
1983;PM25;USAQUEN;2020;2021;12.383984997730998;9.76816514754402;17275;95%;12.238310849331345;12.529659146130651
1984;PM25;USAQUEN;2020;2021;12.383984997730998;9.76816514754402;17275;90%;12.261733408467869;12.506236586994127
1985;PM25;USAQUEN;2020;2021;12.383984997730998;9.76816514754402;17275;99%;12.192528973732864;12.575441021729132
1986;PM25;USAQUEN;2020;2022;12.613276354898122;9.365455604059779;25821;95%;12.499038291932134;12.72751441786411
1987;PM25;USAQUEN;2020;2022;12.613276354898122;9.365455604059779;25821;90%;12.517405804741216;12.709146905055029
1988;PM25;USAQUEN;2020;2022;12.613276354898122;9.365455604059779;25821;99%;12.463138029984275;12.76341467981197
1989;PM25;USAQUEN;2020;2023;12.06655998274744;9.110985037128279;34417;95%;11.970300795083956;12.162819170410925
1990;PM25;USAQUEN;2020;2023;12.06655998274744;9.110985037128279;34417;90%;11.985777392497473;12.147342572997408
1991;PM25;USAQUEN;2020;2023;12.06655998274744;9.110985037128279;34417;99%;11.94005139902452;12.19306856647036
1992;PM25;USAQUEN;2021;2021;11.403753218356018;7.686068849986439;10074;95%;11.253645309190055;11.55386112752198
1993;PM25;USAQUEN;2021;2021;11.403753218356018;7.686068849986439;10074;90%;11.277782241631334;11.529724195080702
1994;PM25;USAQUEN;2021;2021;11.403753218356018;7.686068849986439;10074;99%;11.206464306375803;11.601042130336232
1995;PM25;USAQUEN;2021;2022;12.171615351543497;8.100521662378272;18620;95%;12.055256487310073;12.287974215776922
