Estacion,Localidad,Fecha,Año,Concentracion
Carvajal - Sevillana,Kennedy,2020-01-16 06:00:00,2020,89
Carvajal - Sevillana,Kennedy,2020-01-16 07:00:00,2020,56
Carvajal - Sevillana,Kennedy,2020-01-16 08:00:00,2020,47
Carvajal - Sevillana,Kennedy,2020-01-16 09:00:00,2020,45
Carvajal - Sevillana,Kennedy,2020-01-16 10:00:00,2020,45
Carvajal - Sevillana,Kennedy,2020-01-16 11:00:00,2020,31
Carvajal - Sevillana,Kennedy,2020-01-16 12:00:00,2020,45
Carvajal - Sevillana,Kennedy,2020-01-16 13:00:00,2020,52
Carvajal - Sevillana,Kennedy,2020-01-16 14:00:00,2020,NaN
Carvajal - Sevillana,Kennedy,2020-01-16 15:00:00,2020,40
Carvajal - Sevillana,Kennedy,2020-01-16 16:00:00,2020,44
Carvajal - Sevillana,Kennedy,2020-01-16 17:00:00,2020,49
Carvajal - Sevillana,Kennedy,2020-01-16 18:00:00,2020,59
Carvajal - Sevillana,Kennedy,2020-01-16 19:00:00,2020,46
Carvajal - Sevillana,Kennedy,2020-01-16 20:00:00,2020,39
Carvajal - Sevillana,Kennedy,2020-01-16 21:00:00,2020,48
Carvajal - Sevillana,Kennedy,2020-01-16 22:00:00,2020,40
Carvajal - Sevillana,Kennedy,2020-01-16 23:00:00,2020,39
